Description,ncRNA Name,Disease,PMID,Labels
"JEV infection elevated the expression of miR-146a in JaOArS982 strain which caused downregulation of TRAF6, IRAK1, IRAK2, and STAT1 genes.The Western blot analysis hsa shown downregulation of TRAF6, IRAK1, and IRAK2 genes in the CHME3 cells overexpressing miR-146a.",miR-146a//TRAF6//IRAK1//IRAK2//STAT1//TRAF6//IRAK1//IRAK2//miR-146a,NA,25889446,0
Patients with high lncRNA ANRIL expression had poorer overall survival compared with low lncRNA ANRIL group.,ANRIL,NA,25889788,0
"Moreover, we further confirmed that PVT1 was associated with enhancer of zeste homolog 2 (EZH2) and that this association was required for the repression of p15 and p16.",p15//p16,NA,25890171,0
"Surprisingly, we found both pcDNA3.1-BANCR and baicalein significantly upregulated BANCR expression, downregulated the protein expressions of both B-catenin and p-JNK, and finally resulted in significantly attenuated cell viability.",BANCR//B-catenin//p-JNK,NA,25893737,0
Downregulation of miR-124 may play a role in Hcy-induced atherosclerosis and its promoter DNA methylation status may be an important mechanism in this process.,miR-124,NA,25896413,0
"In those LncRNAs, nine of which were upregulated (P23099, P8860, P14695, P28210, P4091, P6391, P24363, P8725, and P9745) and six of which were downregulated (P6488, P700, P8611, P16984, P19780, and P33863).",P23099//P8860//P14695//P28210//P4091//P6391//P24363//P8725//P9745//P6488//P700//P8611//P16984//P19780//P33863,NA,25900874,0
"The numbers of the identified mRNAs, miRs and TFs that are differentially expressed at 0 h, 24 h and 7d post-IR stages are shown in Table 1.",mRNAs//miRs//TFs,NA,25903305,0
Overexpression of lnc-KCTD6-3 reduced the expression of NANOG,lnc-KCTD6-3//NANOG,NA,25904139,0
We also identified TGFb1 and Twist as the downstream effectors of FRLnc1 in the regulation of cell migration.,FRLnc1,NA,25907137,0
"Furthermore,we identified that E2-GPER induces the level of HOTAIR through the suppression of miR-148a.",HOTAIR//miR-148a,NA,25928008,0
"After the mutation of the predicted miR-148a binding sites in HOTAIR,miR-148a had no effect on HOTAIR",miR-148a//HOTAIR,NA,25928008,0
The mechanism may include the miRNA-mediated caspase 3 pathway.,miRNA,NA,25934693,0
Rs2839698 CT and TT genotypes were also associated with higher serum H19 mRNA levels compared with the CC genotype.,H19,NA,25944697,0
"Among the 11 significantly dysregulated miRNAs, 4 miRNAs were up-regulated (miR-34c, miR-374, miR-181a, and miR-let-7c-1), and 7 miRNAs were downregulated (miR-1188, miR-770-5p, miR-127-5p, miR-375, miR-331, miR-873-5p, and miR-328a) (differentially expressed miRNAs were defined by a fold-change>1.5, up or down-regulated p<0.05).",miR-34c//miR-374//miR-181a//miR-let-7c-1//miR-1188//miR-770-5p//miR-127-5p//miR-375//miR-331//miR-873-5p//miR-328a,NA,25962166,0
We also found that SP1 could regulate the expression of ANRIL.,ANRIL,NA,25966845,0
"NEAT1 expression levels were validated by qPCR,demonstrating high baseline expression (average Cp = 21.3),and confirming p53-dependent induction .",NEAT1,NA,25971364,0
"Moreover, our results showed that S. aureus inhibited MC3T3-E1 cell proliferation, induced osteoblast apoptosis and prohibited bone formation and mineralization.",NA,NA,25976502,0
"Finally,HOTAIR modulated c-KIT expression by competitively binding miR-193a.",HOTAIR//c-KIT//miR-193a,NA,25979172,0
These findings contribute to a better understanding of the mechanism of the activation of TGF-b signaling by miR-132.,miR-132,NA,25983556,0
The reduction in miR-19a-3p and 19b-3p was verified in a second cohort (P = 0.002).,miR-19a-3p and 19b-3p,NA,25985365,0
Effects of HOTAIR overexpression differed between cell lines.,HOTAIR,NA,25994132,0
"Whereas VM-CUB1 cells acquired the expected phenotype with increased proliferation, clonogenicity, anchorage independent growth, migratory activity and epithelial-to-mesenchymal transition, 5637 cells grew more slowly displaying induction of senescence and related immune response genes.",NA,NA,25994132,0
"Among the five, MEG3 showed significant down-expression.",MEG3,NA,25997963,0
"The results of qPCR were consistent with those of the microarray,in that all 10 lncRNAs were differentially expressed with the same trend (up- or down-regulated) and reached statistical significance.",lncRNAs,NA,26003293,0
"Interfering with HOTAIR expression in Tca8113 cells significantly decelerated cell growth, arrested cell cycle, and promoted apoptosis.",HOTAIR,NA,26036760,0
Long noncoding RNA H19 directly binds to miR-103/107 and regulates FADD expression and necrosis,H19//FADD,NA,26038570,0
"The expression levels of six up-regulated lncRNAs (XLOC_010235, CACNAICAS3, INTS7, AC104699.1, TSNAX-DISC1, and PRSS21) and six down-regulated lncRNAs (RP11-789C1.1, RP11-528G1.2, MYLK-AS1, RP11-643M14.1, GS1-5L10.1, and AP001439.2) were determined by using qPCR.",XLOC_010235//CACNAICAS3//INTS7//AC104699.1//TSNAX-DISC1//PRSS21//RP11-789C1.1//RP11-528G1.2//MYLK-AS1//RP11-643M14.1//GS1-5L10.1//AP001439.2,NA,26045391,0
We found LncRNA AF339813 was positively regulated by NUF2.,AF339813//NUF2,NA,26045769,0
We further demonstrated that knockdown of AF339813 by siRNA in PC cells significantly reduced cell proliferation and promoted apoptosis.,AF339813,NA,26045769,0
Down-regulation of lncRNA DLX6-AS1 expression decreased the DLX6 mRNA and protein levels.,DLX6-AS1//DLX6,NA,26052251,0
Studies also indicated that lncRNA RGMB-AS1and RGMB were inversely correlated.,RGMB-AS1//RGMB,NA,26055877,0
"The results of the present study also demonstrated that the Meg3-mediated chemosensitivity enhancement was associated with the induction of cell-cycle arrest and increased apoptosis, through regulation of p53, beta-catenin and survivin, which is a target gene of the WNT/beta-catenin signaling pathway.",p53,NA,26059239,0
"Conversely, ZFAS1 activated ZEB1, MMP14, and MMP16 expression, inhibiting these effects of miR-150.",ZEB1//MMP14//MMP16//miR-150,NA,26069248,0
"miR-150 inhibits cell invasion by targeting ZEB1, MMP14, and MMP16.",miR-150,NA,26069248,0
The ZEB1-AS1 gene is located in physical contiguity with ZEB1 and positively regulates the ZEB1 expression.,ZEB1,NA,26073087,0
"Knockdown of TUG1 increased BTB permeability, and meanwhile down-regulated the expression of the tight junction proteins ZO-1, occludin, and claudin-5.",TUG1//ZO-1//occludin//claudin-5,NA,26078353,0
TUG1 increased BTB permeability via binding to miR-144 and then reducing EC tight junction protein expression by targeting HSF2.,miR-144//EC tight junction,NA,26078353,0
"Furthermore, Knockdown of TUG1 also down-regulated Heat shock transcription factor 2 (HSF2), a transcription factor of the heat shock transcription factor family, which was defined as a direct and functional downstream target of miR-144.",HSF2//miR-144,NA,26078353,0
"HSF2 up-regulated the promoter activities and interacted with the promoters of ZO-1, occludin, and claudin-5 in GECs.",HSF2,NA,26078353,0
"In conclusion, our results indicate that knockdown of TUG1 increased BTB permeability via binding to miR-144 and then reducing EC tight junction protein expression by targeting HSF2.",TUG1//miR-144//EC tight junction,NA,26078353,0
"Thus, TUG1 may represent a useful future therapeutic target for enhancing BTB permeability.",TUG1,NA,26078353,0
"In this study, we found that over-expression of miR-34a inhibited cell proliferation and invasion, induced a cell cycle arrest and triggered apoptosis, while knockdown of miR-34a showed the opposite effects.",miR-34a,NA,26104764,0
"The overexpression of ERa caused tau hyperphosphorylation and aggregation,while the overexpression of ERb induced tau hypophosphorylation.",ERa//ERb,NA,26111662,0
"The opposite effects of ERs on tau phosphorylation were mainly caused by the differential regulation of miR-218/PTPa signaling, which in turn disturbed the balance of GSK-3b/PP2A.", miR-218/PTPa,NA,26111662,0
"We describe novel ABCC9 variants in human brain, corresponding to altered 3'UTR length, which could lead to targeting by miR-30c.",ABCC9//miR-30c,NA,26117405,0
"Further in vitrostudies demonstrated that miR-195 overexpression prevented tau hyperphosphorylation and Cdk5/p35 activity, which were increased by miR-195 inhibition.",miR-195,NA,26118667,0
"A dual luciferase reporter assay showed that miR-195 bound to the Cdk5r1 gene, which encodes p35 protein, in the 3’UTR and inhibited p35 expression.",miR-195//p35,NA,26118667,0
miR-29b expression level decreased in stroke group compared with control group.,miR-29b,NA,26129883,0
Dual-luciferase reporter system showed that AQP-4 was the direct target of miR-29b.,miR-29b,NA,26129883,0
"The results showed that seven of these lncRNAs were in accordance with microarray data,including three up-regulated lncRNAs (uc003xut.,uc021re1.1,ENST00000445734) and four down-regulated ones (uc002nbr.3,ENST00000502941,ENST00000448093,ENST00000503710).","uc003xut.//uc021re1.1//ENST00000445734//uc002nbr.3//ENST00000502941//ENST00000448093,ENST00000503710",NA,26131074,0
"We found a total of 1,111 lncRNAs were differentially expressed in recurrent group.",lncRNAs,NA,26131076,0
"Among these,639 lncRNAs were up-regulated,while 472 lncRNAs were down-regulated (fold Change ≥2.0).",lncRNAs,NA,26131076,0
There was a significant positive correlation between HYAL1 and the selected epigenetic biomarkers.,HYAL1,NA,26138586,0
9 dysregulated lncRNAs were found in heart tissue of patients and verified by q-PCR.,lncRNAs,NA,26141701,0
The up-regulation of miR-150 is associated with poorer outcomes of A/H1N1 infection.,miR-150,NA,26149213,0
It seemed that the SNP rs11169571 destroyed the binding of several miRNAs with ATF1 because of the mutation from T to C.,miRNAs,NA,26149640,0
"Among the miRNAs, hsa-miR-1283 showed the greatest changed energy from T to C and got the highest score.",hsa-miR-1283,NA,26149640,0
"miR-21 targets MKK3 in vivo and in vitro, inhibiting the downstream factors IL-6 and TNF-α.",miR-21,NA,26150338,0
"A long non-coding RNA,ZEB2NAT,was demonstrated to be essential for this TGFβ1-dependent process.",ZEB2NAT,NA,26152796,0
qPCR analyses and immunohistochemical staining revealed an inverse expression of miR-148A and -133A with the HLA-G protein in situ and in vitro., miR-148A and -133A//HLA-G,NA,26156803,0
It plays an important role in CCSK.,NA,NA,26158413,0
These lncRNAs were randomly chosen from differentially expressed lncRNA transcripts.,lncRNAs,NA,26159226,0
"MiR-141 binds to H19 in a sequence specific manner, and suppresses H19 expression and functions including proliferation and invasion.",MiR-141//H19,NA,26160158,0
"In vitro functional assay indicated that AOC4P overexpression significantly reduced cell proliferation,migration and invasion by inhibiting the epithelial-mesenchymal transition (EMT).",AOC4P,NA,26160837,0
"Furthermore, the results of in vitro analysis suggested that this association regulates cell proliferation and migration",NA,NA,26163939,0
Exogenous expressions of these miRNAs in STHdh(Q111)/Hdh(Q111) cells rescued the abnormalities in cell cycle and apoptosis.,miRNAs,NA,26166038,0
"Here, we show that the lncRNA ROR occupies and activates the TESC promoter by repelling the histone G9A methyltransferase and promoting the release of histone H3K9 methylation.",ROR,NA,26169368,0
"In addition,it was identified that an upregulation of H19 induced epithelial-to-mesenchymal transition,while the opposite effect was observed following the downregulation of H19.",H19,NA,26171017,0
rhTNFR:Fc activated Nrf2 pathway to protect myocardium against LPS-induced sepsis injury via miR-27a regulation.,miR-27a,NA,26172287,0
"Dorsal root ganglia miRNA microarray identified significant changes in expression among mice with diabetes, the most prominent of which were a 39% downregulation of mmu-let-7i and a 255% increase in mmu-miR-341 both were identified in sensory neurons.",miRNA//mmu-miR-341,NA,26172287,0
HOTAIR may also mediate changes at an epigenetic level to affect gene expression and contribute to tumor aetiology.,HOTAIR,NA,26172293,0
"From result, it was observed mir-145 has highest affinity for HOXA9 gene.",mir-145//HOXA9,NA,26175938,0
"Over-expression of miR-203 could markedly inhibit cell proliferation, invasion and induce cell apoptosis.",miR-203,NS,26179263,0
"Furthermore, we identified that miR-203 modulated ADAM9 and HULC in a novel post-transcriptional regulatory mechanism.",miR-203//ADAM9//HULC ,NA,26179263,0
"Cells stably expressing miR-21 showed higher proliferation and reduced apoptosis, which was reversed by HuR expression.",miR-21//HuR,NA,26191074,0
"Additionally,high NEAT1 expression levels were significantly associated with the expression level of MDTH,NM23 and MALAT1.",NEAT1//MDTH//NM23//MALAT1,NA,26191242,0
"We also found that the abnormally expressed CCAT1 could promote cell proliferation,migration and invasion.",CCAT1,NA,26191246,0
Univariate and multivariate analysis showed that ZMAT1 transcript variant 2 expression was an independent predictor for overall survival,ZMAT1,NA,26191264,0
"In conclusion, LV-has_piR_011186 appears to mediate the DNA and histone H3 methylation of the CDKN2B promoter region to affect the expression of CDKN2B gene and ultimately facilitated cell proliferation and inhibited apoptosis.",CDKN2B,NA,26205624,0
"Importantly, injection of miR-135a antagonist (AM135a) into the brain of AppTg mice was found to prevent neuronal apoptosis and improved the spatial learning ability.",miR-135a,NA,26209011,0
Genotypic screening of a panel of single-nucleotide polymorphism (SNP)-containing piRNAs revealed a significant association between SNP rs1326306 G>T in piR-021285 and increased likelihood for breast cancer in a Connecticut-based population (441 cases and 479 controls).,piRNAs,NA,26210853,0
